Amplicon,Failed 1,Failed 50,Failed 100,Failed 250,Failed 500,Failed 1000
1METxxxE16TF031SR031,0,11,0,0,1,3
17qxxxxExxTF018SR018,0,1,0,1,4,4
1KRASxxE04TF002SR002,0,1,0,1,3,6
117qxxxExxTF004SR004,0,1,0,0,0,0
1TP53xxE02TF034SR034,0,0,0,3,5,9
1EGFRxxE19TF032SR032,0,0,0,1,5,5
1EGFRxxE21TF035SR035,0,0,0,1,2,2
1METxxxExxTF024SR024,0,0,0,1,0,0
1METxxxExxTF017SR017,0,0,0,1,0,0
1EGFRxxE12TF029SR029,0,0,0,1,0,0
117qxxxExxTF007SR007,0,0,0,1,0,0
1METxxxExxTF009SR009,0,0,0,1,0,0
1EGFRxxExxTF004SR004,0,0,0,1,0,0
1EGFRxxExxTF011SR011,0,0,0,1,0,0
1METxxxExxTF004SR004,0,0,0,1,0,0
1METxxxExxTF027SR027,0,0,0,1,0,0
17qxxxxExxTF001SR001,0,0,0,0,1,1
1EGFRxxExxTF008SR008,0,0,0,0,1,0
1EGFRxxExxTF001SR001,0,0,0,0,1,0
1ERBB2xExxTF021SR021,0,0,0,0,1,0
117qxxxExxTF008SR008,0,0,0,0,1,0
1METxxxExxTF012SR012,0,0,0,0,1,0
1METxxxExxTF034SR034,0,0,0,0,1,0
1METxxxExxTF030SR030,0,0,0,0,1,0
1METxxxExxTF002SR002,0,0,0,0,1,0
117qxxxExxTF017SR017,0,0,0,0,1,0
117qxxxExxTF013SR013,0,0,0,0,1,0
17qxxxxExxTF006SR006,0,0,0,0,1,0
1METxxxExxTF008SR008,0,0,0,0,1,0
1METxxxExxTF014SR014,0,0,0,0,1,0
1EGFRxxExxTF018SR018,0,0,0,0,1,0
1ERBB2xExxTF018SR018,0,0,0,0,0,1
1KITxxxE10TF005SR005,0,0,0,0,0,1
1KRASxxE02TF004SR004,0,0,0,0,0,1
1METxxxExxTF006SR006,0,0,0,0,0,1
1KITxxxE13TF009SR009,0,0,0,0,0,1
1METxxxExxTF016SR016,0,0,0,0,0,1
1KITxxxE11TF007SR007,0,0,0,0,0,1
1EGFRxxExxTF017SR017,0,0,0,0,0,1
1KITxxxE09SF004TR004,0,0,0,0,0,1
1ERBB2xExxTF002SR002,0,0,0,0,0,1
1EGFRxxExxTF009SR009,0,0,0,0,0,1
17qxxxxExxTF011SR011,0,0,0,0,0,1
117qxxxExxTF015SR015,0,0,0,0,0,0
1TP53xxE11TF008SR008,0,0,0,0,0,0
17qxxxxExxTF031SR031,0,0,0,0,0,0
1EGFRxxExxTF027SR027,0,0,0,0,0,0
1ERBB2xExxTF010SR010,0,0,0,0,0,0
17qxxxxExxTF035SR035,0,0,0,0,0,0
1TP53xxE04TF028SR028,0,0,0,0,0,0
117pxxxExxTF002SR002,0,0,0,0,0,0
1GNA11xE05TF001SR001,0,0,0,0,0,0
1EGFRxxExxTF002SR002,0,0,0,0,0,0
1ERBB2xExxTF008SR008,0,0,0,0,0,0
17qxxxxExxTF026SR026,0,0,0,0,0,0
1EGFRxxExxTF012SR012,0,0,0,0,0,0
1TP53xxE08TF017SR017,0,0,0,0,0,0
1ERBB2xExxTF022SR022,0,0,0,0,0,0
1ERBB2xExxTF004SR004,0,0,0,0,0,0
117qxxxExxTF029SR029,0,0,0,0,0,0
1TP53xxE01SF036TR036,0,0,0,0,0,0
1ERBB2xExxTF025SR025,0,0,0,0,0,0
17qxxxxExxTF029SR029,0,0,0,0,0,0
1ERBB2xE19TF029SR029,0,0,0,0,0,0
1KITxxxE08TF002SR002,0,0,0,0,0,0
1ERBB2xExxTF027SR027,0,0,0,0,0,0
1EGFRxxExxTF026SR026,0,0,0,0,0,0
1EGFRxxExxTF010SR010,0,0,0,0,0,0
117qxxxExxTF026SR026,0,0,0,0,0,0
17qxxxxExxTF010SR010,0,0,0,0,0,0
1KITxxxE14TF010SR010,0,0,0,0,0,0
1ERBB2xE17TF028SR028,0,0,0,0,0,0
17qxxxxExxTF015SR015,0,0,0,0,0,0
