Amplicon,Failed 1,Failed 50,Failed 100,Failed 250,Failed 500,Failed 1000
2KITxxxE09TF003SR003,0,5,4,2,0,0
27qxxxxExxTF002SR002,0,1,0,0,0,0
27qxxxxExxTF034SR034,0,0,0,2,4,5
2METxxxExxTF007SR007,0,0,0,1,0,0
217qxxxExxTF006SR006,0,0,0,1,0,0
2METxxxExxTF013SR013,0,0,0,1,0,0
2METxxxExxTF029SR029,0,0,0,1,0,0
2TP53xxE02TF033SR033,0,0,0,0,1,3
2ERBB2xE21TF031SR031,0,0,0,0,1,1
2EGFRxxExxTF006SR006,0,0,0,0,1,1
217qxxxExxTF002SR002,0,0,0,0,1,0
217qxxxExxTF012SR012,0,0,0,0,1,0
217qxxxExxTF011SR011,0,0,0,0,1,0
2METxxxExxTF015SR015,0,0,0,0,1,0
217qxxxExxTF005SR005,0,0,0,0,1,0
2METxxxE20TF035SR035,0,0,0,0,1,0
217qxxxExxTF009SR009,0,0,0,0,1,0
2ERBB2xExxTF024SR024,0,0,0,0,1,0
2PIK3CAE09TF001SR001,0,0,0,0,1,0
2METxxxE18TF032SR032,0,0,0,0,1,0
2METxxxExxTF021SR021,0,0,0,0,1,0
27qxxxxExxTF003SR003,0,0,0,0,0,1
2METxxxExxTF018SR018,0,0,0,0,0,1
2METxxxExxTF025SR025,0,0,0,0,0,1
2METxxxExxTF028SR028,0,0,0,0,0,1
2METxxxExxTF020SR020,0,0,0,0,0,1
2KITxxxE17TF012SR012,0,0,0,0,0,1
2KITxxxE11TF006SR006,0,0,0,0,0,1
27qxxxxExxTF016SR016,0,0,0,0,0,1
2EGFRxxExxTF023SR023,0,0,0,0,0,1
217qxxxExxTF022SR022,0,0,0,0,0,1
27qxxxxExxTF005SR005,0,0,0,0,0,1
217pxxxExxTF004SR004,0,0,0,0,0,1
2METxxxExxTF026SR026,0,0,0,0,0,1
2ERBB2xE18TF037SR037,0,0,0,0,0,0
2TP53xxE11TF005SR005,0,0,0,0,0,0
2PDGFRAE14TF003SR003,0,0,0,0,0,0
2ERBB2xExxTF005SR005,0,0,0,0,0,0
2TP53xxE11TF001SR001,0,0,0,0,0,0
2TP53xxE03TF031SR031,0,0,0,0,0,0
2ERBB2xExxTF026SR026,0,0,0,0,0,0
27qxxxxExxTF036SR036,0,0,0,0,0,0
27qxxxxExxTF028SR028,0,0,0,0,0,0
27qxxxxExxTF020SR020,0,0,0,0,0,0
2TP53xxE11TF011SR011,0,0,0,0,0,0
27qxxxxExxTF033SR033,0,0,0,0,0,0
2PIK3CAE20TF004SR004,0,0,0,0,0,0
217qxxxExxTF024SR024,0,0,0,0,0,0
2ERBB2xExxTF011SR011,0,0,0,0,0,0
2TP53xxE05TF025SR025,0,0,0,0,0,0
2KITxxxE14TF011SR011,0,0,0,0,0,0
217pxxxExxTF003SR003,0,0,0,0,0,0
217qxxxExxTF027SR027,0,0,0,0,0,0
2ERBB2xExxTF009SR009,0,0,0,0,0,0
2ERBB2xExxTF016SR016,0,0,0,0,0,0
2EGFRxxExxTF021SR021,0,0,0,0,0,0
217qxxxExxTF021SR021,0,0,0,0,0,0
217qxxxExxTF003SR003,0,0,0,0,0,0
2NRASxxE04TF001SR001,0,0,0,0,0,0
217qxxxExxTF025SR025,0,0,0,0,0,0
2ERBB2xExxTF003SR003,0,0,0,0,0,0
2TP53xxE04TF027SR027,0,0,0,0,0,0
217qxxxExxTF020SR020,0,0,0,0,0,0
2ERBB2xExxTF007SR007,0,0,0,0,0,0
2TP53xxE07TF020SR020,0,0,0,0,0,0
2GNAQxxE05TF001SR001,0,0,0,0,0,0
2TP53xxE11TF009SR009,0,0,0,0,0,0
2KITxxxE08TF001SR001,0,0,0,0,0,0
2TP53xxE01TF035SR035,0,0,0,0,0,0
2BRAFxxE15TF001SR001,0,0,0,0,0,0
2TP53xxE07TF022SR022,0,0,0,0,0,0
2ERBB2xExxTF015SR015,0,0,0,0,0,0
2TP53xxE11SF003TR003,0,0,0,0,0,0
2EGFRxxExxTF024SR024,0,0,0,0,0,0
2METxxxExxTF003SR003,0,0,0,0,0,0
2ERBB2xE20TF030SR030,0,0,0,0,0,0
2KRASxxE04TF001SR001,0,0,0,0,0,0
2TP53xxE10TF014SR014,0,0,0,0,0,0
2ERBB2xE26TF035SR035,0,0,0,0,0,0
2TP53xxE09TF016SR016,0,0,0,0,0,0
27qxxxxExxTF014SR014,0,0,0,0,0,0
2KITxxxE13TF008SR008,0,0,0,0,0,0
2KITxxxE18TF014SR014,0,0,0,0,0,0
27qxxxxExxTF007SR007,0,0,0,0,0,0
2METxxxExxTF005SR005,0,0,0,0,0,0
217qxxxExxTF016SR016,0,0,0,0,0,0
27qxxxxExxTF008SR008,0,0,0,0,0,0
217qxxxExxTF010SR010,0,0,0,0,0,0
2EGFRxxExxTF016SR016,0,0,0,0,0,0
2EGFRxxE20TF033SR033,0,0,0,0,0,0
27qxxxxExxTF022SR022,0,0,0,0,0,0
2PDGFRAE18TF005SR005,0,0,0,0,0,0
2TP53xxE11TF007SR007,0,0,0,0,0,0
2METxxxExxTF011SR011,0,0,0,0,0,0
27qxxxxExxTF025SR025,0,0,0,0,0,0
27qxxxxExxTF027SR027,0,0,0,0,0,0
217qxxxExxTF001SR001,0,0,0,0,0,0
2TP53xxE04TF029SR029,0,0,0,0,0,0
217qxxxExxTF014SR014,0,0,0,0,0,0
2EGFRxxExxTF028SR028,0,0,0,0,0,0
2PDGFRAE12TF002SR002,0,0,0,0,0,0
2TP53xxE07TF018SR018,0,0,0,0,0,0
2FOXL2xE01TF001SR001,0,0,0,0,0,0
2TP53xxE11TF013SR013,0,0,0,0,0,0
2ERBB2xExxTF019SR019,0,0,0,0,0,0
2TP53xxE06TF024SR024,0,0,0,0,0,0
2EGFRxxE18TF031SR031,0,0,0,0,0,0
2ERBB2xExxTF013SR013,0,0,0,0,0,0
27qxxxxExxTF013SR013,0,0,0,0,0,0
2ERBB2xExxTF033SR033,0,0,0,0,0,0
2METxxxExxTF023SR023,0,0,0,0,0,0
2NRASxxE02TF003SR003,0,0,0,0,0,0
2EGFRxxExxTF022SR022,0,0,0,0,0,0
2EGFRxxExxTF025SR025,0,0,0,0,0,0
27qxxxxExxTF023SR023,0,0,0,0,0,0
2EGFRxxExxTF013SR013,0,0,0,0,0,0
